event_type,surprise_bucket,sample_size,median_weekly_return,mean_weekly_return,trimmed_10_return,ci_low,ci_high,positive_rate,p_val
CPI,large_negative,22,-0.0025671158899183144,0.0035374634752026834,0.0018443136540098265,-0.010305456862381934,0.006145555045530493,36.36363636363637,0.8519245948146423
CPI,neutral,163,0.0,-0.00027780704696173277,-0.0002923195258421334,0.0,0.0,41.104294478527606,0.836440307429648
CPI,large_positive,19,0.006130355209061467,0.005271897570411921,0.005689517570614579,0.0,0.01592716535668015,68.42105263157895,0.19888473153236397
Core CPI,large_negative,21,-0.002547325314743887,0.004911803694848565,0.003321971337506688,-0.009557131545226749,0.007764379867373661,42.857142857142854,0.681322326150025
Core CPI,neutral,168,0.0,-0.00015456441086935893,-0.00018636054915440638,0.0,0.0,41.66666666666667,0.9056205933450261
Core CPI,large_positive,15,0.005094668310234418,0.0037017763381170356,0.003879680143218156,0.0,0.007356984547439938,60.0,0.31089682851661204
FOMC Rate Decision,neutral,136,0.0,-0.0013272481475269757,-0.0005442680271784043,-0.0005345466598303816,0.00026367885340161656,41.17647058823529,0.6332061044673152
GDP,large_negative,11,-0.0020164372601896297,0.0013182586472664944,-0.0004266822658336321,-0.0072560756961079775,0.013573865827590348,36.36363636363637,0.76953125
GDP,neutral,41,0.0,0.0017895880997446398,0.002292802823769468,0.0,0.009683643948199538,48.78048780487805,0.49150856326473014
GDP,large_positive,16,0.0012410468180984457,0.00188896159529868,0.0026331672648667076,-0.0037047423152228864,0.009253609100979387,50.0,0.43262594902013973
ISM Manufacturing,large_negative,37,0.0,-0.0012964976767481456,-0.001992486066939491,-0.005773249736326647,0.0,32.432432432432435,0.4523776866075748
ISM Manufacturing,neutral,116,0.0,0.001397566192341241,0.0014359214956981051,0.0,0.004144160543993528,48.275862068965516,0.3317684719405102
ISM Manufacturing,large_positive,51,0.0,-0.0020364326241189305,-0.0012765051977240915,-0.0016324237767155747,0.0036334795032368916,43.13725490196079,0.47990398439711157
Nonfarm Payrolls,extreme_negative,6,0.0,0.0,0.0,0.0,0.0,0.0,
Nonfarm Payrolls,large_negative,15,0.0,0.0,0.0,0.0,0.0,0.0,
Nonfarm Payrolls,neutral,147,0.0,0.0,0.0,0.0,0.0,0.0,
Nonfarm Payrolls,large_positive,24,0.0,0.0,0.0,0.0,0.0,0.0,
Nonfarm Payrolls,extreme_positive,12,0.0,0.0,0.0,0.0,0.0,0.0,
PCE,extreme_negative,10,0.005306649531686469,0.00942623689369848,0.008083483595369007,0.0006354785353643866,0.019632955032291566,80.0,0.0390625
PCE,large_negative,49,0.000709302158508951,0.002233189623971919,0.0028807750193998566,0.0,0.006072420061242978,53.06122448979592,0.2180816681051977
PCE,neutral,105,0.0,0.0036410439406189,0.0035090697373275142,0.0,0.0035105487721402984,44.761904761904766,0.04671345664806033
PCE,large_positive,30,0.0008016262183471179,0.004822995035204736,0.0038961421850478247,0.0,0.011938889725457646,50.0,0.07648946089689826
PCE,extreme_positive,10,0.0,0.008564636150871307,0.010423328792762879,-0.010676026756469503,0.04553034344022444,40.0,0.640625
Unemployment Rate,large_negative,44,0.0,0.0,0.0,0.0,0.0,0.0,
Unemployment Rate,neutral,103,0.0,0.0,0.0,0.0,0.0,0.0,
Unemployment Rate,large_positive,57,0.0,0.0,0.0,0.0,0.0,0.0,
