week_ending,trade_week,bias,static_bias,signal,static_signal,return,static_return,raw_return,prediction_timestamp,entry_timestamp,exit_timestamp,trade_timestamp,entry_source,recursive_bias,recursive_category,expected_return,corridor_low,corridor_high,direction,entry_price,exit_price,gross_return,transaction_cost,net_return,position,stop_price,target_price,stop_hit,target_hit,prior_archetype,prior_warning,realized_return,prediction_error,recursive_expected_return,stopped,stop_reason,size,regime,confidence,archetype,contained,equity,drawdown
2024-10-18,2024-10-25,0.018,-0.065,0,-1,0.0,-0.021809205129137088,0.0,2024-10-18 21:00:00+00:00,2024-10-18,2024-10-25,2024-10-18,weekly_close,0.018,NEUTRAL,0.0008,5426.53,5647.84,0,5532.708729135649,5532.708729135649,0.0,0.0,0.0,1.0,,,False,False,NONE,False,0.03355178039589801,-0.03275178039589801,0.0008,False,,1.0,0,0.018,VOLATILITY_LIQUIDATION,False,1.0,0.0
2024-10-25,2024-11-01,0.346,-0.07,1,-1,0.022451600966409857,-0.02445160096640986,0.023451600966409858,2024-10-25 21:00:00+00:00,2024-10-25,2024-11-01,2024-10-25,weekly_close,0.346,BULLISH_BIAS,0.0291,5730.23,6039.02,1,5718.340957410076,5852.445207733135,0.023451600966409858,0.0010000000000000009,0.022451600966409857,1.0,5730.23,6039.02,False,False,VOLATILITY_LIQUIDATION,True,0.023451600966409858,0.005648399033590143,0.0291,False,,1.0,0,0.346,IN_LINE_ACCURATE,True,1.0224516009664097,0.0
2024-11-01,2024-11-08,0.214,-0.117,1,-1,0.012546532327542992,-0.014546532327542994,0.013546532327542993,2024-11-01 21:00:00+00:00,2024-11-01,2024-11-08,2024-11-01,weekly_close,0.214,NEUTRAL,0.0165,5790.95,6106.99,1,5852.445207733135,5931.725545934866,0.013546532327542993,0.0010000000000000009,0.012546532327542992,1.0,5790.95,6106.99,False,False,VOLATILITY_LIQUIDATION,True,0.013546532327542993,0.002953467672457008,0.0165,False,,1.0,0,0.214,IN_LINE_ACCURATE,True,1.0352798230312827,0.0
2024-11-08,2024-11-15,0.122,-0.083,1,-1,0.009161180655531287,-0.011161180655531289,0.010161180655531288,2024-11-08 22:00:00+00:00,2024-11-08,2024-11-15,2024-11-08,weekly_close,0.122,NEUTRAL,0.0054,5845.31,6082.58,1,5931.725545934866,5991.99888080614,0.010161180655531288,0.0010000000000000009,0.009161180655531287,1.0,5845.31,6082.58,False,False,NONE,False,0.010161180655531288,-0.0047611806555312875,0.0054,False,,1.0,1,0.122,IN_LINE_ACCURATE,True,1.0447642085190987,0.0
2024-11-15,2024-11-22,0.284,-0.05,1,-1,-0.00023273366354115057,-0.0017672663364588495,0.0007672663364588495,2024-11-15 22:00:00+00:00,2024-11-15,2024-11-22,2024-11-15,weekly_close,0.284,BULLISH_BIAS,0.0227,5966.43,6290.0,1,5991.99888080614,5996.596339835482,0.0007672663364588495,0.001,-0.00023273366354115057,1.0,5966.43,6290.0,False,False,VOLATILITY_LIQUIDATION,True,0.0007672663364588495,0.021932733663541152,0.0227,False,,1.0,1,0.284,UNCLASSIFIED_DISPERSION,True,1.0445210567173133,-0.00023273366354115144
2024-11-22,2024-11-29,-0.105,-0.066,-1,-1,0.023673386609768143,0.023673386609768143,0.024673386609768144,2024-11-22 22:00:00+00:00,2024-11-22,2024-11-29,2024-11-22,weekly_close,-0.105,NEUTRAL,-0.0047,5848.64,6088.5,-1,5996.596339835482,5848.64,0.024673386609768144,0.0010000000000000009,0.023673386609768143,1.0,6088.5,5848.64,False,True,NONE,False,-0.04132937801467662,0.03662937801467662,-0.0047,True,target,1.0,1,0.105,UNCLASSIFIED_DISPERSION,False,1.069248407515026,0.0
2024-11-29,2024-12-06,0.529,0.04,1,0,0.024070975052249755,0.0,0.025070975052249755,2024-11-29 22:00:00+00:00,2024-11-29,2024-12-06,2024-11-29,weekly_close,0.529,BULLISH_BIAS,0.0261,5783.65,6013.6,1,5748.760742904995,5892.887780071718,0.025070975052249755,0.0010000000000000009,0.024070975052249755,1.0,5783.65,6013.6,False,False,NONE,False,0.025070975052249755,0.0010290249477502462,0.0261,False,,1.0,1,0.529,IN_LINE_ACCURATE,True,1.0949862592569777,0.0
2024-12-06,2024-12-13,0.318,-0.12,1,-1,0.0013071650292150192,-0.0033071650292150192,0.002307165029215019,2024-12-06 22:00:00+00:00,2024-12-06,2024-12-13,2024-12-06,weekly_close,0.318,BULLISH_BIAS,0.0174,5865.62,6124.91,1,5892.887780071718,5906.483644678989,0.002307165029215019,0.001,0.0013071650292150192,1.0,5865.62,6124.91,False,False,UNCLASSIFIED_DISPERSION,True,0.002307165029215019,0.01509283497078498,0.0174,False,,1.0,1,0.318,UNCLASSIFIED_DISPERSION,True,1.0964175870025494,0.0
2024-12-13,2024-12-20,-0.776,-0.031,-1,0,0.045512216270416794,0.0,0.046512216270416795,2024-12-13 22:00:00+00:00,2024-12-13,2024-12-20,2024-12-13,weekly_close,-0.776,BEARISH_BIAS,-0.0685,5371.88,5631.76,-1,5906.483644678989,5631.76,0.046512216270416795,0.0010000000000000009,0.045512216270416794,1.0,5631.76,5371.88,True,False,UNCLASSIFIED_DISPERSION,True,-0.004944483474497274,-0.06355551652550273,-0.0685,True,stop,1.0,1,0.776,UNCLASSIFIED_DISPERSION,False,1.1463179813448978,0.0
2024-12-20,2024-12-27,-0.176,-0.127,-1,-1,-0.006766264178359349,-0.006766264178359349,-0.005766264178359348,2024-12-20 22:00:00+00:00,2024-12-20,2024-12-27,2024-12-20,weekly_close,-0.176,NEUTRAL,-0.0093,5693.22,5951.82,-1,5877.279133905485,5911.169078041543,-0.005766264178359348,0.0010000000000000009,-0.006766264178359349,1.0,5951.82,5693.22,False,False,UNCLASSIFIED_DISPERSION,True,0.005766264178359348,-0.015066264178359347,-0.0093,False,,1.0,1,0.176,UNCLASSIFIED_DISPERSION,True,1.1385616910507146,-0.006766264178359349
