week_ending,trade_week,bias,static_bias,signal,static_signal,return,static_return,raw_return,prediction_timestamp,entry_timestamp,exit_timestamp,trade_timestamp,entry_source,recursive_bias,recursive_category,expected_return,corridor_low,corridor_high,direction,entry_price,exit_price,gross_return,transaction_cost,net_return,position,stop_price,target_price,stop_hit,target_hit,prior_archetype,prior_warning,realized_return,prediction_error,recursive_expected_return,stopped,stop_reason,size,regime,confidence,archetype,contained,equity,drawdown,capital
2024-02-23,2024-03-01,0.338,-0.023,1,0,0.016653302504986256,0.0,0.018153302504986257,2024-02-23 22:00:00+00:00,2024-02-23,2024-03-01,2024-02-23,weekly_close,0.338,BULLISH_BIAS,0.0189,5400.79,5639.17,1,5417.762683643624,5516.112968540033,0.018153302504986257,0.0015000000000000013,0.016653302504986256,1.0,5400.79,5639.17,False,False,UNCLASSIFIED_DISPERSION,True,0.018153302504986257,0.0007466974950137428,0.0189,False,,1.0,1,0.338,IN_LINE_ACCURATE,True,1.0166533025049862,0.0,10166.533025049863
2024-03-01,2024-03-08,-0.05,0.089,0,0,0.0,0.0,0.0,2024-03-01 22:00:00+00:00,2024-03-01,2024-03-08,2024-03-01,weekly_close,-0.05,NEUTRAL,-0.0026,5380.34,5623.05,0,5516.112968540033,5516.112968540033,0.0,0.0,0.0,1.0,,,False,False,UNCLASSIFIED_DISPERSION,True,-0.019361396437359457,0.01676139643735946,-0.0026,False,,1.0,1,0.05,UNCLASSIFIED_DISPERSION,True,1.0166533025049862,0.0,10166.533025049863
2024-03-08,2024-03-15,0.34,-0.019,1,0,0.014817823165818977,0.0,0.01631782316581898,2024-03-08 22:00:00+00:00,2024-03-08,2024-03-15,2024-03-08,weekly_close,0.34,BULLISH_BIAS,0.019,5392.85,5630.85,1,5409.313318562869,5497.581536743688,0.01631782316581898,0.0015000000000000013,0.014817823165818977,1.0,5392.85,5630.85,False,False,UNCLASSIFIED_DISPERSION,True,0.01631782316581898,0.002682176834181021,0.019,False,,1.0,1,0.34,IN_LINE_ACCURATE,True,1.031717891362451,0.0,10317.17891362451
2024-03-15,2024-03-22,0.544,-0.133,1,-1,0.00212505672566904,-0.00512505672566904,0.0036250567256690402,2024-03-15 21:00:00+00:00,2024-03-15,2024-03-22,2024-03-15,weekly_close,0.544,BULLISH_BIAS,0.0339,5563.23,5805.12,1,5497.581536743688,5517.5105816683745,0.0036250567256690402,0.0015,0.00212505672566904,1.0,5563.23,5805.12,False,False,UNCLASSIFIED_DISPERSION,True,0.0036250567256690402,0.03027494327433096,0.0339,False,,1.0,1,0.544,UNCLASSIFIED_DISPERSION,False,1.0339103504064837,0.0,10339.103504064837
2024-03-22,2024-03-29,-0.105,0.101,-1,1,-0.020949624911785036,0.017949624911785034,-0.019449624911785035,2024-03-22 21:00:00+00:00,2024-03-22,2024-03-29,2024-03-22,weekly_close,-0.105,NEUTRAL,-0.007,5341.08,5616.96,-1,5517.5105816683745,5624.824092928629,-0.019449624911785035,0.0015000000000000013,-0.020949624911785036,1.0,5616.96,5341.08,False,False,COUNTER_TREND_EXHAUSTION,True,0.019449624911785035,-0.026449624911785034,-0.007,False,,1.0,1,0.105,COUNTER_TREND_EXHAUSTION,False,1.0122503163730556,-0.020949624911785092,10122.503163730556
2024-03-29,2024-04-05,0.009,0.05,0,0,0.0,0.0,0.0,2024-03-29 21:00:00+00:00,2024-03-29,2024-04-05,2024-03-29,weekly_close,0.009,NEUTRAL,-0.0005,5481.28,5762.53,0,5624.824092928629,5624.824092928629,0.0,0.0,0.0,1.0,,,False,False,COUNTER_TREND_EXHAUSTION,True,-0.016972689551663867,0.016472689551663866,-0.0005,False,,1.0,1,0.009,UNCLASSIFIED_DISPERSION,True,1.0122503163730556,-0.020949624911785092,10122.503163730556
2024-04-05,2024-04-12,-0.397,-0.001,-1,0,0.033923145707704994,0.0,0.035423145707704995,2024-04-05 21:00:00+00:00,2024-04-05,2024-04-12,2024-04-05,weekly_close,-0.397,BEARISH_BIAS,-0.0227,5282.34,5525.63,-1,5529.355699816632,5333.4885271922985,0.035423145707704995,0.0015000000000000013,0.033923145707704994,1.0,5525.63,5282.34,False,False,UNCLASSIFIED_DISPERSION,True,-0.035423145707704995,0.012723145707704994,-0.0227,False,,1.0,1,0.397,IN_LINE_ACCURATE,True,1.0465890313480493,0.0,10465.890313480493
2024-04-12,2024-04-19,0.321,0.002,1,0,-0.012619855815248993,0.0,-0.011119855815248991,2024-04-12 21:00:00+00:00,2024-04-12,2024-04-19,2024-04-12,weekly_close,0.321,BULLISH_BIAS,0.0149,5306.37,5519.71,1,5333.4885271922985,5274.180903777636,-0.011119855815248991,0.0015000000000000013,-0.012619855815248993,1.0,5306.37,5519.71,False,False,NONE,False,-0.011119855815248991,0.02601985581524899,0.0149,False,,1.0,0,0.321,UNCLASSIFIED_DISPERSION,False,1.0333812286746158,-0.012619855815248937,10333.812286746157
2024-04-19,2024-04-26,0.292,0.058,1,0,-0.005985565497226673,0.0,-0.004485565497226673,2024-04-19 21:00:00+00:00,2024-04-19,2024-04-26,2024-04-19,weekly_close,0.292,BULLISH_BIAS,0.0135,5239.66,5450.62,1,5274.180903777636,5250.523219889519,-0.004485565497226673,0.0014999999999999996,-0.005985565497226673,1.0,5239.66,5450.62,False,False,NONE,False,-0.004485565497226673,0.01798556549722667,0.0135,False,,1.0,0,0.292,UNCLASSIFIED_DISPERSION,True,1.0271958576467795,-0.01852988433892777,10271.958576467794
2024-04-26,2024-05-03,0.442,0.06,1,0,0.036913567171148076,0.0,0.03841356717114808,2024-04-26 21:00:00+00:00,2024-04-26,2024-05-03,2024-04-26,weekly_close,0.442,BULLISH_BIAS,0.0258,5270.68,5501.7,1,5250.523219889519,5452.214546280418,0.03841356717114808,0.0015000000000000013,0.036913567171148076,1.0,5270.68,5501.7,False,False,UNCLASSIFIED_DISPERSION,True,0.03841356717114808,-0.012613567171148077,0.0258,False,,1.0,0,0.442,IN_LINE_ACCURATE,True,1.065113320935949,0.0,10651.133209359488
