week_ending,trade_week,bias,static_bias,signal,static_signal,return,static_return,raw_return,prediction_timestamp,entry_timestamp,exit_timestamp,trade_timestamp,entry_source,recursive_bias,recursive_category,expected_return,corridor_low,corridor_high,direction,entry_price,exit_price,gross_return,transaction_cost,net_return,position,stop_price,target_price,stop_hit,target_hit,prior_archetype,prior_warning,realized_return,prediction_error,recursive_expected_return,stopped,stop_reason,size,regime,confidence,archetype,contained,equity,drawdown,capital
2024-06-28,2024-07-05,-0.083,0.059,-1,1,-0.013935483737679444,0.010935483737679441,-0.012435483737679442,2024-06-28 21:00:00+00:00,2024-06-28,2024-07-05,2024-06-28,weekly_close,-0.083,NEUTRAL,-0.0037,5049.64,5309.58,-1,5198.673084080123,5263.3210986747135,-0.012435483737679442,0.0015000000000000013,-0.013935483737679444,1.0,5309.58,5049.64,False,False,COUNTER_TREND_EXHAUSTION,True,0.012435483737679442,-0.016135483737679444,-0.0037,False,,1.0,0,0.083,UNCLASSIFIED_DISPERSION,True,0.9860645162623205,0.0,9860.645162623205
2024-07-05,2024-07-12,0.138,0.066,1,1,0.009797523043254375,0.009797523043254375,0.011297523043254376,2024-07-05 21:00:00+00:00,2024-07-05,2024-07-12,2024-07-05,weekly_close,0.138,NEUTRAL,0.0073,5186.18,5417.76,1,5263.3210986747135,5322.783590071038,0.011297523043254376,0.0015000000000000013,0.009797523043254375,1.0,5186.18,5417.76,False,False,UNCLASSIFIED_DISPERSION,True,0.011297523043254376,-0.003997523043254376,0.0073,False,,1.0,0,0.138,IN_LINE_ACCURATE,True,0.995725506082536,0.0,9957.25506082536
2024-07-12,2024-07-19,0.221,0.051,1,1,-0.006627338092811073,-0.006627338092811073,-0.0051273380928110734,2024-07-12 21:00:00+00:00,2024-07-12,2024-07-19,2024-07-12,weekly_close,0.221,NEUTRAL,0.0119,5269.2,5503.41,1,5322.783590071038,5295.491879009877,-0.0051273380928110734,0.0014999999999999996,-0.006627338092811073,1.0,5269.2,5503.41,False,False,UNCLASSIFIED_DISPERSION,True,-0.0051273380928110734,0.017027338092811074,0.0119,False,,1.0,1,0.221,UNCLASSIFIED_DISPERSION,True,0.9891264965060916,-0.006627338092811019,9891.264965060916
2024-07-19,2024-07-26,0.104,0.027,1,0,-0.018006847901392897,0.0,-0.016506847901392896,2024-07-19 21:00:00+00:00,2024-07-19,2024-07-26,2024-07-19,weekly_close,0.104,NEUTRAL,0.0055,5208.08,5441.08,1,5295.491879009877,5208.08,-0.016506847901392896,0.0015000000000000013,-0.018006847901392897,1.0,5208.08,5441.08,True,False,UNCLASSIFIED_DISPERSION,True,-0.0213549209344025,0.026854920934402497,0.0055,True,stop,1.0,0,0.104,UNCLASSIFIED_DISPERSION,False,0.9713154461282688,-0.024514848525175603,9713.154461282687
2024-07-26,2024-08-02,0.317,0.011,1,0,0.010613588121499762,0.0,0.012113588121499763,2024-07-26 21:00:00+00:00,2024-07-26,2024-08-02,2024-07-26,weekly_close,0.317,BULLISH_BIAS,0.0175,5143.63,5402.75,1,5182.407068624851,5245.184613332121,0.012113588121499763,0.0015000000000000013,0.010613588121499762,1.0,5143.63,5402.75,False,False,COUNTER_TREND_EXHAUSTION,True,0.012113588121499763,0.0053864118785002385,0.0175,False,,1.0,0,0.317,IN_LINE_ACCURATE,True,0.981624588209525,-0.014161450908782958,9816.24588209525
2024-08-02,2024-08-09,0.084,-0.007,1,0,-0.0011843345946244686,0.0,0.00031566540537553145,2024-08-02 21:00:00+00:00,2024-08-02,2024-08-09,2024-08-02,weekly_close,0.084,NEUTRAL,0.0038,5160.14,5369.95,1,5245.184613332121,5246.840336659358,0.00031566540537553145,0.0015,-0.0011843345946244686,1.0,5160.14,5369.95,False,False,NONE,False,0.00031566540537553145,0.0034843345946244685,0.0038,False,,1.0,-1,0.084,IN_LINE_ACCURATE,True,0.9804620162507746,-0.015329013607186082,9804.620162507746
2024-08-09,2024-08-16,-0.279,0.024,-1,0,0.0059286120941198246,0.0,0.007428612094119824,2024-08-09 21:00:00+00:00,2024-08-09,2024-08-16,2024-08-09,weekly_close,-0.279,BEARISH_BIAS,-0.0129,5074.48,5284.35,-1,5246.840336659358,5207.863595078535,0.007428612094119824,0.0014999999999999996,0.0059286120941198246,1.0,5284.35,5074.48,False,False,NONE,False,-0.007428612094119824,-0.005471387905880176,-0.0129,False,,1.0,-1,0.279,IN_LINE_ACCURATE,True,0.986274795218144,-0.009491281288528719,9862.74795218144
2024-08-16,2024-08-23,-0.104,0.094,-1,1,-0.0017467482029515633,-0.0012532517970484367,-0.0002467482029515633,2024-08-16 21:00:00+00:00,2024-08-16,2024-08-23,2024-08-16,weekly_close,-0.104,NEUTRAL,-0.0055,5064.47,5293.62,-1,5207.863595078535,5209.148626061837,-0.0002467482029515633,0.0015,-0.0017467482029515633,1.0,5293.62,5064.47,False,False,UNCLASSIFIED_DISPERSION,True,0.0002467482029515633,-0.005746748202951563,-0.0055,False,,1.0,-1,0.104,UNCLASSIFIED_DISPERSION,True,0.9845520214919803,-0.011221450612945882,9845.520214919803
2024-08-23,2024-08-30,0.554,-0.127,1,-1,0.011329615496820156,-0.014329615496820158,0.012829615496820157,2024-08-23 21:00:00+00:00,2024-08-23,2024-08-30,2024-08-23,weekly_close,0.554,BULLISH_BIAS,0.0348,5275.98,5505.18,1,5209.148626061837,5275.98,0.012829615496820157,0.0015000000000000013,0.011329615496820156,1.0,5275.98,5505.18,True,False,UNCLASSIFIED_DISPERSION,True,-0.0013623264749961228,0.03616232647499612,0.0348,True,stop,1.0,-1,0.554,UNCLASSIFIED_DISPERSION,False,0.9957066173321014,-1.896983688698395e-05,9957.066173321015
2024-08-30,2024-09-06,-0.036,0.06,0,1,0.0,0.015487463495360398,0.0,2024-08-30 21:00:00+00:00,2024-08-30,2024-09-06,2024-08-30,weekly_close,-0.036,NEUTRAL,-0.003,5056.35,5316.45,0,5202.052064976363,5202.052064976363,0.0,0.0,0.0,1.0,,,False,False,COUNTER_TREND_EXHAUSTION,True,0.0169874634953604,-0.0199874634953604,-0.003,False,,1.0,-1,0.036,MACRO_DECOUPLING,True,0.9957066173321014,-1.896983688698395e-05,9957.066173321015
