week_ending,trade_week,bias,static_bias,signal,static_signal,return,static_return,raw_return,prediction_timestamp,entry_timestamp,exit_timestamp,trade_timestamp,entry_source,recursive_bias,recursive_category,expected_return,corridor_low,corridor_high,direction,entry_price,exit_price,gross_return,transaction_cost,net_return,position,stop_price,target_price,stop_hit,target_hit,prior_archetype,prior_warning,realized_return,prediction_error,recursive_expected_return,stopped,stop_reason,size,regime,confidence,archetype,equity,drawdown
2026-03-20,2026-03-27,0.019,0.021,0,0,0.0,0.0,0.0,2026-03-20 21:00:00+00:00,2026-03-20,2026-03-27,2026-03-20,weekly_close,0.019,NEUTRAL,0.0008,6513.14,6778.76,0,6640.447219853207,6640.447219853207,0.0,0.0,0.0,1.0,,,False,False,NONE,False,0.01775642097342711,-0.016956420973427113,0.0008,False,,1.0,1,0.019,VOLATILITY_LIQUIDATION,1.0,0.0
2026-03-27,2026-04-03,-0.074,-0.013,0,0,0.0,0.0,0.0,2026-03-27 21:00:00+00:00,2026-03-27,2026-04-03,2026-03-27,weekly_close,-0.074,NEUTRAL,-0.0067,6524.07,6902.54,0,6758.3577961407445,6758.3577961407445,0.0,0.0,0.0,1.0,,,False,False,VOLATILITY_LIQUIDATION,True,0.003301917922647224,-0.010001917922647225,-0.0067,False,,1.0,1,0.074,VOLATILITY_LIQUIDATION,1.0,0.0
2026-04-03,2026-04-10,0.063,0.004,0,0,0.0,0.0,0.0,2026-04-03 21:00:00+00:00,2026-04-03,2026-04-10,2026-04-03,weekly_close,0.063,NEUTRAL,0.0056,6629.1,7008.82,0,6780.673338875484,6780.673338875484,0.0,0.0,0.0,1.0,,,False,False,VOLATILITY_LIQUIDATION,True,0.03434260280104673,-0.028742602801046728,0.0056,False,,1.0,1,0.063,VOLATILITY_LIQUIDATION,1.0,0.0
2026-04-10,2026-04-17,0.299,0.041,1,0,0.002302347490587886,0.0,0.002302347490587886,2026-04-10 21:00:00+00:00,2026-04-10,2026-04-17,2026-04-10,weekly_close,0.299,BULLISH_BIAS,0.0307,7032.49,7425.25,1,7013.539310076132,7029.6869147068255,0.002302347490587886,0.0,0.002302347490587886,1.0,7032.49,7425.25,False,False,VOLATILITY_LIQUIDATION,True,0.002302347490587886,0.028397652509412116,0.0307,False,,1.0,1,0.299,UNCLASSIFIED_DISPERSION,1.0023023474905879,0.0
2026-04-17,2026-04-24,0.025,0.017,0,0,0.0,0.0,0.0,2026-04-17 21:00:00+00:00,2026-04-17,2026-04-24,2026-04-17,weekly_close,0.025,NEUTRAL,0.0022,6848.39,7242.05,0,7029.6869147068255,7029.6869147068255,0.0,0.0,0.0,1.0,,,False,False,VOLATILITY_LIQUIDATION,True,-0.013136310830566877,0.015336310830566878,0.0022,False,,1.0,1,0.025,UNCLASSIFIED_DISPERSION,1.0023023474905879,0.0
2026-04-24,2026-05-01,0.059,-0.011,0,0,0.0,0.0,0.0,2026-04-24 21:00:00+00:00,2026-04-24,2026-05-01,2026-04-24,weekly_close,0.059,NEUTRAL,0.0053,6779.94,7168.43,0,6937.342762353668,6937.342762353668,0.0,0.0,0.0,1.0,,,False,False,VOLATILITY_LIQUIDATION,True,0.01549806495342887,-0.01019806495342887,0.0053,False,,1.0,1,0.059,IN_LINE_ACCURATE,1.0023023474905879,0.0
2026-05-01,2026-05-08,0.21,0.01,1,0,-0.0038392767416711715,0.0,-0.0038392767416711715,2026-05-01 21:00:00+00:00,2026-05-01,2026-05-08,2026-05-01,weekly_close,0.21,NEUTRAL,0.0112,6969.12,7279.09,1,7044.858151088825,7017.810991040978,-0.0038392767416711715,0.0,-0.0038392767416711715,1.0,6969.12,7279.09,False,False,UNCLASSIFIED_DISPERSION,True,-0.0038392767416711715,0.015039276741671171,0.0112,False,,1.0,1,0.21,UNCLASSIFIED_DISPERSION,0.9984542313997449,-0.0038392767416711715
2026-05-08,2026-05-15,-0.018,0.012,0,0,0.0,0.0,0.0,2026-05-08 21:00:00+00:00,2026-05-08,2026-05-15,2026-05-08,weekly_close,-0.018,NEUTRAL,-0.001,6856.65,7165.44,0,7017.810991040978,7017.810991040978,0.0,0.0,0.0,1.0,,,False,False,UNCLASSIFIED_DISPERSION,True,-0.032624665611995174,0.03162466561199517,-0.001,False,,1.0,1,0.018,UNCLASSIFIED_DISPERSION,0.9984542313997449,-0.0038392767416711715
2026-05-15,2026-05-22,0.215,-0.041,1,0,0.03458957916949945,0.0,0.03458957916949945,2026-05-15 21:00:00+00:00,2026-05-15,2026-05-22,2026-05-15,weekly_close,0.215,NEUTRAL,0.0205,6737.97,7118.15,1,6788.857254130081,7023.680969592245,0.03458957916949945,0.0,0.03458957916949945,1.0,6737.97,7118.15,False,False,VOLATILITY_LIQUIDATION,True,0.03458957916949945,-0.01408957916949945,0.0205,False,,1.0,1,0.215,IN_LINE_ACCURATE,1.032990343083868,0.0
2026-05-22,2026-05-29,-0.208,-0.0,-1,0,0.010890596025226351,0.0,0.010890596025226351,2026-05-22 21:00:00+00:00,2026-05-22,2026-05-29,2026-05-22,weekly_close,-0.208,NEUTRAL,-0.0111,6791.07,7100.12,-1,7023.680969592245,6947.188897542345,0.010890596025226351,0.0,0.010890596025226351,1.0,7100.12,6791.07,False,False,UNCLASSIFIED_DISPERSION,True,-0.010890596025226351,-0.00020940397477364932,-0.0111,False,,1.0,1,0.208,IN_LINE_ACCURATE,1.0442402236083543,0.0
